level_0,index,competition_name,competition_link,competition_tabindex,discipline_link,Event number,Event,Category,Minimum,Start Time,Total Entries,Total Participants,results_link,competition_link_check,results_link_check,TotalParticipantsInt,Date,Year,Time,Status
0,0,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,1,50m Backstroke,Women 10-99,00:00.00,06/10/2023 10:00:00,15,15,/LeagueTable/AthleticsDisciplineResults/41426?isModal=True,1,1,15,2023-10-06 00:00:00,2023,10:00:00,Passed
1,1,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,2,50m Backstroke,Men 10-99,00:00.00,06/10/2023 10:04:00,29,29,/LeagueTable/AthleticsDisciplineResults/41422?isModal=True,1,1,29,2023-10-06 00:00:00,2023,10:04:00,Passed
2,2,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,3,100m Freestyle,Women 12-99,00:00.00,06/10/2023 10:12:00,16,16,/LeagueTable/AthleticsDisciplineResults/41436?isModal=True,1,1,16,2023-10-06 00:00:00,2023,10:12:00,Passed
3,3,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,4,100m Freestyle,Men 12-99,00:00.00,06/10/2023 10:18:00,30,30,/LeagueTable/AthleticsDisciplineResults/41431?isModal=True,1,1,30,2023-10-06 00:00:00,2023,10:18:00,Passed
4,4,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,5,50m Butterfly,Women 10-99,00:00.00,06/10/2023 10:30:00,16,16,/LeagueTable/AthleticsDisciplineResults/41429?isModal=True,1,1,16,2023-10-06 00:00:00,2023,10:30:00,Passed
5,5,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,6,50m Butterfly,Men 10-99,00:00.00,06/10/2023 10:34:00,31,31,/LeagueTable/AthleticsDisciplineResults/41425?isModal=True,1,1,31,2023-10-06 00:00:00,2023,10:34:00,Passed
6,6,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,7,100m Breaststroke,Women 12-99,00:00.00,06/10/2023 10:42:00,5,5,/LeagueTable/AthleticsDisciplineResults/41437?isModal=True,1,1,5,2023-10-06 00:00:00,2023,10:42:00,Passed
7,7,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,8,100m Breaststroke,Men 12-99,00:00.00,06/10/2023 10:45:00,13,13,/LeagueTable/AthleticsDisciplineResults/41432?isModal=True,1,1,13,2023-10-06 00:00:00,2023,10:45:00,Passed
8,8,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,9,100m Backstroke,Women 12-99,00:00.00,06/10/2023 10:51:00,5,5,/LeagueTable/AthleticsDisciplineResults/41435?isModal=True,1,1,5,2023-10-06 00:00:00,2023,10:51:00,Passed
9,9,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,10,100m Backstroke,Men 12-99,00:00.00,06/10/2023 10:54:00,6,6,/LeagueTable/AthleticsDisciplineResults/41430?isModal=True,1,1,6,2023-10-06 00:00:00,2023,10:54:00,Passed
