,level_0,level_0_production,index,competition_name,competition_link,competition_tabindex,discipline_link,Event number,Event,Category,Minimum,Start Time,Total Entries,Total Participants,results_link,competition_link_check,results_link_check,TotalParticipantsInt,Date,Year,Time,Status,Place,Full name,Year Of Birth,Club,Heat,Lane,Results,Points,table_first_row
0,24,173,173,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,1,400m Freestyle,Women 14-99,05:05.00,23/12/2023 09:00:00,33,33,/LeagueTable/AthleticsDisciplineResults/42968?isModal=True,1,1,33,2023-12-23 00:00:00,2023,09:00:00,Passed,25,Noa Karni,2009,Maccabbi Weisgal,2,0,04:55.65,495,Direct Finals
1,24,174,174,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,2,400m Freestyle,Men 14-99,04:45.00,23/12/2023 09:24:00,40,38,/LeagueTable/AthleticsDisciplineResults/42957?isModal=True,1,1,38,2023-12-23 00:00:00,2023,09:24:00,Passed,25,Ariel Alon,2009,Maccabbi Weisgal,2,3,04:21.56,534,Direct Finals
2,36,174,174,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,2,400m Freestyle,Men 14-99,04:45.00,23/12/2023 09:24:00,40,38,/LeagueTable/AthleticsDisciplineResults/42957?isModal=True,1,1,38,2023-12-23 00:00:00,2023,09:24:00,Passed,37,Matan Epshtein,2009,Maccabbi Weisgal,1,0,04:38.11,444,Direct Finals
3,20,175,175,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,3,100m Butterfly,Women 14-99,00:00.00,23/12/2023 09:48:00,42,42,/LeagueTable/AthleticsDisciplineResults/42964?isModal=True,1,1,42,2023-12-23 00:00:00,2023,09:48:00,Passed,21,Ellah Manna,2009,Maccabbi Weisgal,3,5,01:11.50,447,Direct Finals
4,9,176,176,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,4,100m Butterfly,Men 14-99,00:00.00,23/12/2023 10:00:30,78,74,/LeagueTable/AthleticsDisciplineResults/42953?isModal=True,1,1,74,2023-12-23 00:00:00,2023,10:00:30,Passed,10,Itay Shpayzer,2008,Maccabbi Weisgal,7,2,00:58.12,555,Direct Finals
5,19,176,176,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,4,100m Butterfly,Men 14-99,00:00.00,23/12/2023 10:00:30,78,74,/LeagueTable/AthleticsDisciplineResults/42953?isModal=True,1,1,74,2023-12-23 00:00:00,2023,10:00:30,Passed,20,Eran Grubman,2007,Maccabbi Weisgal,7,8,00:59.78,510,Direct Finals
6,47,176,176,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,4,100m Butterfly,Men 14-99,00:00.00,23/12/2023 10:00:30,78,74,/LeagueTable/AthleticsDisciplineResults/42953?isModal=True,1,1,74,2023-12-23 00:00:00,2023,10:00:30,Passed,48,Ariel Alon,2009,Maccabbi Weisgal,5,1,01:05.49,388,Direct Finals
7,20,177,177,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,5,200m Backstroke,Women 14-99,00:00.00,23/12/2023 10:16:30,41,41,/LeagueTable/AthleticsDisciplineResults/42965?isModal=True,1,1,41,2023-12-23 00:00:00,2023,10:16:30,Passed,21,GilVered Cipele,2009,Maccabbi Weisgal,3,3,02:40.74,405,Direct Finals
8,34,177,177,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,5,200m Backstroke,Women 14-99,00:00.00,23/12/2023 10:16:30,41,41,/LeagueTable/AthleticsDisciplineResults/42965?isModal=True,1,1,41,2023-12-23 00:00:00,2023,10:16:30,Passed,35,SHIRLI DUBOVICH,2010,Maccabbi Weisgal,2,7,02:49.94,342,Direct Finals
9,2,178,178,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,6,200m Backstroke,Men 14-99,00:00.00,23/12/2023 10:34:00,47,44,/LeagueTable/AthleticsDisciplineResults/42954?isModal=True,1,1,44,2023-12-23 00:00:00,2023,10:34:00,Passed,3,Ron Morgulis,2006,Maccabbi Weisgal,5,2,02:11.82,514,Direct Finals
10,21,178,178,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,6,200m Backstroke,Men 14-99,00:00.00,23/12/2023 10:34:00,47,44,/LeagueTable/AthleticsDisciplineResults/42954?isModal=True,1,1,44,2023-12-23 00:00:00,2023,10:34:00,Passed,22,Matan Epshtein,2009,Maccabbi Weisgal,3,3,02:23.28,400,Direct Finals
