index,competition_name,competition_link,competition_tabindex,discipline_link,Event number,Event,Category,Minimum,Start Time,Total Entries,Total Participants,results_link
0,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,1,50m Backstroke,Women 10-99,00:00.00,06/10/2023 10:00:00,15,15,/LeagueTable/AthleticsDisciplineResults/41426?isModal=True
1,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,2,50m Backstroke,Men 10-99,00:00.00,06/10/2023 10:04:00,29,29,/LeagueTable/AthleticsDisciplineResults/41422?isModal=True
2,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,3,100m Freestyle,Women 12-99,00:00.00,06/10/2023 10:12:00,16,16,/LeagueTable/AthleticsDisciplineResults/41436?isModal=True
3,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,4,100m Freestyle,Men 12-99,00:00.00,06/10/2023 10:18:00,30,30,/LeagueTable/AthleticsDisciplineResults/41431?isModal=True
4,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,5,50m Butterfly,Women 10-99,00:00.00,06/10/2023 10:30:00,16,16,/LeagueTable/AthleticsDisciplineResults/41429?isModal=True
5,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,6,50m Butterfly,Men 10-99,00:00.00,06/10/2023 10:34:00,31,31,/LeagueTable/AthleticsDisciplineResults/41425?isModal=True
6,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,7,100m Breaststroke,Women 12-99,00:00.00,06/10/2023 10:42:00,5,5,/LeagueTable/AthleticsDisciplineResults/41437?isModal=True
7,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,8,100m Breaststroke,Men 12-99,00:00.00,06/10/2023 10:45:00,13,13,/LeagueTable/AthleticsDisciplineResults/41432?isModal=True
8,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,9,100m Backstroke,Women 12-99,00:00.00,06/10/2023 10:51:00,5,5,/LeagueTable/AthleticsDisciplineResults/41435?isModal=True
9,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,10,100m Backstroke,Men 12-99,00:00.00,06/10/2023 10:54:00,6,6,/LeagueTable/AthleticsDisciplineResults/41430?isModal=True
10,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,11,50m Breaststroke,Women 10-99,00:00.00,06/10/2023 10:57:00,15,15,/LeagueTable/AthleticsDisciplineResults/41428?isModal=True
11,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,12,50m Breaststroke,Men 10-99,00:00.00,06/10/2023 11:01:00,33,31,/LeagueTable/AthleticsDisciplineResults/41424?isModal=True
12,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,13,100m Butterfly,Women 12-99,00:00.00,06/10/2023 11:11:00,2,2,/LeagueTable/AthleticsDisciplineResults/41439?isModal=True
13,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,14,100m Butterfly,Men 12-99,00:00.00,06/10/2023 11:14:00,7,7,/LeagueTable/AthleticsDisciplineResults/41434?isModal=True
14,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,15,50m Freestyle,Women 10-99,00:00.00,06/10/2023 11:17:00,28,28,/LeagueTable/AthleticsDisciplineResults/41427?isModal=True
15,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,16,50m Freestyle,Men 10-99,00:00.00,06/10/2023 11:23:00,44,44,/LeagueTable/AthleticsDisciplineResults/41423?isModal=True
16,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,17,100m Individual Medley,Women 12-99,00:00.00,06/10/2023 11:32:00,13,13,/LeagueTable/AthleticsDisciplineResults/41438?isModal=True
17,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,18,100m Individual Medley,Men 12-99,00:00.00,06/10/2023 11:38:00,26,25,/LeagueTable/AthleticsDisciplineResults/41433?isModal=True
18,תחרות אזורית צפון קרית ביאליק 1,comp.asp?compID=456,26,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9455,1,50m Freestyle,Women 10-99,00:00.00,13/10/2023 14:15:00,10,0,/LeagueTable/AthleticsDisciplineResults/41463?isModal=True
19,תחרות אזורית צפון קרית ביאליק 1,comp.asp?compID=456,26,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9455,2,50m Freestyle,Men 10-99,00:00.00,,19,0,/LeagueTable/AthleticsDisciplineResults/41467?isModal=True
20,תחרות אזורית צפון קרית ביאליק 1,comp.asp?compID=456,26,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9455,3,50m Backstroke,Women 10-99,00:00.00,,3,0,/LeagueTable/AthleticsDisciplineResults/41462?isModal=True
21,תחרות אזורית צפון קרית ביאליק 1,comp.asp?compID=456,26,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9455,4,50m Backstroke,Men 10-99,00:00.00,,6,0,/LeagueTable/AthleticsDisciplineResults/41466?isModal=True
22,תחרות אזורית צפון קרית ביאליק 1,comp.asp?compID=456,26,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9455,5,100m Individual Medley,Women 10-99,00:00.00,,3,0,/LeagueTable/AthleticsDisciplineResults/41460?isModal=True
23,תחרות אזורית צפון קרית ביאליק 1,comp.asp?compID=456,26,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9455,6,100m Individual Medley,Men 10-99,00:00.00,,8,0,/LeagueTable/AthleticsDisciplineResults/41464?isModal=True
24,תחרות אזורית צפון קרית ביאליק 1,comp.asp?compID=456,26,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9455,7,200m Breaststroke,Women 10-99,00:00.00,,4,0,/LeagueTable/AthleticsDisciplineResults/41461?isModal=True
25,תחרות אזורית צפון קרית ביאליק 1,comp.asp?compID=456,26,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9455,8,200m Breaststroke,Men 10-99,00:00.00,,3,0,/LeagueTable/AthleticsDisciplineResults/41465?isModal=True
26,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,1,50m Freestyle,Girls 10-11,00:00.00,13/10/2023 13:30:00,45,0,/LeagueTable/AthleticsDisciplineResults/41585?isModal=True
27,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,2,50m Freestyle,Boys 10-12,00:00.00,,97,0,/LeagueTable/AthleticsDisciplineResults/41595?isModal=True
28,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,3,50m Freestyle,Girls 12-13,00:00.00,,69,0,/LeagueTable/AthleticsDisciplineResults/41590?isModal=True
29,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,4,50m Freestyle,Boys 13-14,00:00.00,,88,0,/LeagueTable/AthleticsDisciplineResults/41600?isModal=True
30,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,5,50m Breaststroke,Girls 10-11,00:00.00,,29,0,/LeagueTable/AthleticsDisciplineResults/41586?isModal=True
31,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,6,50m Breaststroke,Boys 10-12,00:00.00,,49,0,/LeagueTable/AthleticsDisciplineResults/41596?isModal=True
32,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,7,50m Breaststroke,Girls 12-13,00:00.00,,39,0,/LeagueTable/AthleticsDisciplineResults/41591?isModal=True
33,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,8,50m Breaststroke,Boys 13-14,00:00.00,,29,0,/LeagueTable/AthleticsDisciplineResults/41601?isModal=True
34,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,9,50m Backstroke,Girls 10-11,00:00.00,,33,0,/LeagueTable/AthleticsDisciplineResults/41584?isModal=True
35,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,10,50m Backstroke,Boys 10-12,00:00.00,,56,0,/LeagueTable/AthleticsDisciplineResults/41594?isModal=True
36,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,11,50m Backstroke,Girls 12-13,00:00.00,,47,0,/LeagueTable/AthleticsDisciplineResults/41589?isModal=True
37,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,12,50m Backstroke,Boys 13-14,00:00.00,,51,0,/LeagueTable/AthleticsDisciplineResults/41599?isModal=True
38,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,13,50m Butterfly,Girls 10-11,00:00.00,,20,0,/LeagueTable/AthleticsDisciplineResults/41587?isModal=True
39,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,14,50m Butterfly,Boys 10-12,00:00.00,,44,0,/LeagueTable/AthleticsDisciplineResults/41597?isModal=True
40,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,15,50m Butterfly,Girls 12-13,00:00.00,,38,0,/LeagueTable/AthleticsDisciplineResults/41592?isModal=True
41,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,16,50m Butterfly,Boys 13-14,00:00.00,,50,0,/LeagueTable/AthleticsDisciplineResults/41602?isModal=True
42,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,17,100m Individual Medley,Girls 10-11,00:00.00,,22,0,/LeagueTable/AthleticsDisciplineResults/41583?isModal=True
43,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,18,100m Individual Medley,Boys 10-12,00:00.00,,47,0,/LeagueTable/AthleticsDisciplineResults/41593?isModal=True
44,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,19,100m Individual Medley,Girls 12-13,00:00.00,,56,0,/LeagueTable/AthleticsDisciplineResults/41588?isModal=True
45,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,20,100m Individual Medley,Boys 13-14,00:00.00,,77,0,/LeagueTable/AthleticsDisciplineResults/41598?isModal=True
46,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,21,4X50m Medley Relay,Girls 10-13,00:00.00,,64,0,/LeagueTable/AthleticsDisciplineResults/41603?isModal=True
47,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,22,4X50m Medley Relay,Boys 10-14,00:00.00,,92,0,/LeagueTable/AthleticsDisciplineResults/41604?isModal=True
48,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,23,100m Butterfly,Girls 14-15,00:00.00,14/10/2023 09:00:00,16,0,/LeagueTable/AthleticsDisciplineResults/41607?isModal=True
