Gender,Age,Event,Points,Time
Male,8,50m Freestyle,20,00:33.68
Male,8,100m Freestyle,20,01:17.71
Male,8,200m Freestyle,20,02:51.20
Male,8,400m Freestyle,20,06:18.30
Male,8,800m Freestyle,20,13:05.70
Male,8,1500m Freestyle,20,24:58.65
Male,8,50m Breaststroke,20,00:45.18
Male,8,100m Breaststroke,20,01:41.49
Male,8,200m Breaststroke,20,03:46.01
Male,8,50m Butterfly,20,00:39.41
Male,8,100m Butterfly,20,01:32.15
Male,8,200m Butterfly,20,04:12.20
Male,8,50m Backstroke,20,00:39.61
Male,8,100m Backstroke,20,01:27.36
Male,8,200m Backstroke,20,03:13.48
Male,8,200m Individual Medley,20,03:22.73
Male,8,400m Individual Medley,20,07:21.35
Male,8,50m Freestyle,19,00:34.20
Male,8,100m Freestyle,19,01:18.91
Male,8,200m Freestyle,19,02:53.85
Male,8,400m Freestyle,19,06:24.15
Male,8,800m Freestyle,19,13:17.85
Male,8,1500m Freestyle,19,25:21.82
Male,8,50m Breaststroke,19,00:45.88
Male,8,100m Breaststroke,19,01:43.06
Male,8,200m Breaststroke,19,03:49.51
Male,8,50m Butterfly,19,00:40.02
Male,8,100m Butterfly,19,01:33.58
Male,8,200m Butterfly,19,04:16.10
Male,8,50m Backstroke,19,00:40.22
Male,8,100m Backstroke,19,01:28.71
Male,8,200m Backstroke,19,03:16.47
Male,8,200m Individual Medley,19,03:25.86
Male,8,400m Individual Medley,19,07:28.18
Male,8,50m Freestyle,18,00:34.72
Male,8,100m Freestyle,18,01:20.11
Male,8,200m Freestyle,18,02:56.50
Male,8,400m Freestyle,18,06:30.00
Male,8,800m Freestyle,18,13:30.00
Male,8,1500m Freestyle,18,25:45.00
Male,8,50m Butterfly,18,00:40.63
Male,8,100m Butterfly,18,01:35.00
Male,8,200m Butterfly,18,04:20.00
Male,8,50m Backstroke,18,00:40.83
Male,8,100m Backstroke,18,01:30.06
Male,8,200m Backstroke,18,03:19.46
Male,8,200m Individual Medley,18,03:29.00
Male,8,400m Individual Medley,18,07:35.00
Male,8,50m Freestyle,17,00:35.24
Male,8,100m Freestyle,17,01:21.31
Male,8,200m Freestyle,17,02:59.15
